99815,99756,1.0012e+05,1.0026e+05,1.0025e+05,1.0088e+05,1.018e+05,1.0118e+05,1.0082e+05,1.0033e+05,1.003e+05,1.0013e+05
99544,1.003e+05,99849,1.0003e+05,1.005e+05,1.0148e+05,1.0177e+05,1.0125e+05,1.0063e+05,1.0027e+05,99485,99862
99031,99806,99541,99391,99513,1.011e+05,1.0233e+05,1.0177e+05,1.0058e+05,1.0047e+05,1.0039e+05,1.0217e+05
99636,99935,1.0038e+05,1.0126e+05,1.0052e+05,1.0148e+05,1.0171e+05,1.0141e+05,1.0074e+05,1.0042e+05,1.0021e+05,99561
99937,99512,99434,99579,1.0004e+05,1.0089e+05,1.0186e+05,1.0181e+05,1.0081e+05,1.0125e+05,1.0035e+05,1.0058e+05
99193,1.0033e+05,99759,99283,99490,1.0082e+05,1.0172e+05,1.0137e+05,1.0081e+05,1.0023e+05,1.0093e+05,1.0224e+05
99620,1.0041e+05,99481,99337,99796,1.0066e+05,1.0194e+05,1.0192e+05,1.0089e+05,99913,99871,99306
1.0048e+05,1.0018e+05,99819,99713,98965,1.0065e+05,1.0187e+05,1.0118e+05,1.0104e+05,99894,1.0046e+05,99991
99565,99653,99898,1.001e+05,1.0033e+05,1.0139e+05,1.0218e+05,1.0178e+05,1.0086e+05,1.0088e+05,1.0016e+05,1.0019e+05
99616,99710,99985,99376,99812,1.0104e+05,1.0158e+05,1.0154e+05,1.0091e+05,1.0043e+05,1.004e+05,1.0068e+05
99267,1.0032e+05,99983,1.0054e+05,1.0002e+05,1.0047e+05,1.0145e+05,1.0172e+05,1.0063e+05,1.0085e+05,1.0068e+05,1.0016e+05
99784,1.008e+05,1.0012e+05,1.0046e+05,1.0025e+05,1.0072e+05,1.0191e+05,1.0107e+05,1.0079e+05,99988,1.0018e+05,1.0019e+05
1.0036e+05,1.0042e+05,1.0032e+05,99388,99190,1.0162e+05,1.0181e+05,1.0141e+05,1.0049e+05,1.0048e+05,1.0038e+05,1.0002e+05
1.0045e+05,1.0015e+05,1.0002e+05,99852,99816,1.0086e+05,1.015e+05,1.0207e+05,1.0085e+05,1.005e+05,1.0033e+05,1.0007e+05
1.0008e+05,1.0007e+05,1.0033e+05,99860,99954,1.0081e+05,1.0173e+05,1.0154e+05,1.011e+05,1.0032e+05,1.0056e+05,1.0017e+05
99294,99808,1.0047e+05,99337,1.001e+05,1.0099e+05,1.0181e+05,1.0131e+05,1.0063e+05,1.0067e+05,1.0062e+05,1.0046e+05
99804,99744,99786,1.0004e+05,1.0007e+05,1.0082e+05,1.0173e+05,1.0139e+05,1.0087e+05,1.0076e+05,1.0087e+05,1.0022e+05
1.0004e+05,99463,1.0051e+05,1.0018e+05,99923,1.007e+05,1.0175e+05,1.0162e+05,1.0093e+05,1.0032e+05,1.0046e+05,1.0082e+05
99798,99373,1.0001e+05,99418,1.0059e+05,1.0104e+05,1.0187e+05,1.0152e+05,1.0123e+05,1.0064e+05,99870,99917
1.0039e+05,99321,1.0011e+05,99636,99625,1.0091e+05,1.0208e+05,1.0146e+05,1.0095e+05,1.0106e+05,1.0048e+05,99777
99963,1.0059e+05,99462,99471,1.0062e+05,1.0193e+05,1.0176e+05,1.0166e+05,1.0068e+05,1.0013e+05,1.0015e+05,1.0004e+05
99995,1.0002e+05,1.0002e+05,99620,99786,1.0029e+05,1.015e+05,1.0131e+05,1.0106e+05,1.0062e+05,99883,99699
99667,99280,1.0037e+05,99711,1.0014e+05,1.0161e+05,1.0245e+05,1.0165e+05,1.0072e+05,1.003e+05,99977,1.0035e+05
99152,1.0087e+05,99485,99644,99844,1.0039e+05,1.0157e+05,1.0154e+05,1.0055e+05,1.0048e+05,99953,99710
99266,1.0046e+05,99073,99992,1.0006e+05,1.0147e+05,1.0193e+05,1.0149e+05,1.0102e+05,99723,1.0114e+05,1.01e+05
99497,1.0031e+05,99605,99659,99641,1.0058e+05,1.0197e+05,1.0155e+05,1.002e+05,1.0041e+05,1.0194e+05,1.0039e+05
99330,1.0001e+05,1.0068e+05,1.001e+05,1.0023e+05,1.005e+05,1.0169e+05,1.0153e+05,1.0089e+05,1.0029e+05,1.0048e+05,1.0062e+05
99549,99125,99943,1.0063e+05,1.0004e+05,1.0097e+05,1.0189e+05,1.0149e+05,1.0119e+05,1.0001e+05,1.0042e+05,1.0015e+05
99500,1.0002e+05,1.005e+05,99504,99592,1.0081e+05,1.0166e+05,1.0174e+05,1.007e+05,99910,1.0047e+05,1.0004e+05
99890,1.002e+05,1.0015e+05,99053,99745,1.0108e+05,1.0193e+05,1.0171e+05,1.0089e+05,1.0015e+05,1.0048e+05,1.0122e+05
99884,1.002e+05,99805,99543,99223,1.0056e+05,1.0177e+05,1.0125e+05,1.0076e+05,1.0043e+05,1.0039e+05,99638
1.0062e+05,1.0103e+05,99657,1.0081e+05,1.0021e+05,1.009e+05,1.0147e+05,1.0111e+05,1.0084e+05,99974,1.0062e+05,1.0105e+05
98608,1.0047e+05,99532,99618,99724,1.0022e+05,1.0193e+05,1.0167e+05,1.0073e+05,1.0075e+05,1.001e+05,1.0026e+05
1.0001e+05,99871,1.0016e+05,99669,99693,1.0099e+05,1.0165e+05,1.0138e+05,1.0072e+05,1.005e+05,1.0019e+05,1.0047e+05
98625,99701,99725,99631,99506,1.0072e+05,1.012e+05,1.0162e+05,1.0104e+05,1.0021e+05,1.0049e+05,1.0011e+05
99808,99940,1.0052e+05,99565,99629,1.0103e+05,1.0196e+05,1.0168e+05,1.0116e+05,1.0045e+05,1.0027e+05,99789
99740,99636,1.0015e+05,98128,99898,1.011e+05,1.0195e+05,1.015e+05,1.0059e+05,1.0044e+05,1.0003e+05,1.0026e+05
99930,99802,99814,99306,99874,1.0122e+05,1.0203e+05,1.0159e+05,1.0092e+05,1.0038e+05,1.0005e+05,99854
1.0009e+05,1.0064e+05,1.0053e+05,1.0057e+05,1.0071e+05,1.0148e+05,1.0172e+05,1.0149e+05,1.0054e+05,1.0018e+05,1.0038e+05,1.0067e+05
99848,1.0028e+05,99733,1.0032e+05,1.0096e+05,1.0124e+05,1.0176e+05,1.0145e+05,1.0098e+05,1.0038e+05,1.0026e+05,1.0028e+05
99644,1.0058e+05,1.003e+05,1.0017e+05,1.0019e+05,1.0047e+05,1.0195e+05,1.0184e+05,1.0157e+05,1.0104e+05,1.0071e+05,1.0044e+05
99720,99616,1.0025e+05,99190,99347,1.0103e+05,1.018e+05,1.0173e+05,1.0131e+05,1.0056e+05,1.0011e+05,1.0041e+05
99942,99617,99855,99424,99902,1.0164e+05,1.0187e+05,1.0132e+05,1.0084e+05,1.0033e+05,1.0022e+05,1.002e+05
